property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,suncity vatsal valley,gwal pahari,1.28,9552,3,3,3,1,Relatively New,1489.0,0,0,0,0,0,2,49
flat,"godrej 101, sector 79",sector 79,1.25,9038,2,2,3,1,Relatively New,1383.0,0,0,0,0,0,0,0
house,International City by SOBHA Phase 2,sector 109,12.5,26670,5,6,3,3,Relatively New,4500.0,1,1,1,1,0,0,63
flat,the penthouses at the hibiscus,sector 50,8.0,8888,4,3,3,7,Moderately Old,10000.0,0,1,0,0,0,0,35
house,independent,sector 38,3.9,21242,6,6,3+,3,Moderately Old,1836.0,1,1,0,1,0,0,32
flat,experion the heartsong,sector 108,0.93,6078,2,3,3,10,Relatively New,1161.0,0,0,0,0,0,0,81
flat,aardhya homesh,sector 67a,1.85,8043,4,4,0,4,New Property,2556.0,0,0,0,0,0,0,0
house,independent,sector 26,5.8,32222,4,3,2,2,Relatively New,1800.0,0,0,1,0,0,0,21
flat,ss the leaf,sector 85,2.7,7754,4,4,3+,23,New Property,3151.0,0,0,0,0,0,0,21
house,independent,sector 4,3.25,14444,3,3,2,2,Old Property,2250.0,0,0,0,0,0,0,27
flat,m3m heights,sector 65,2.33,18477,2,2,3,35,Under Construction,1141.0,0,0,0,0,0,2,49
flat,central park flower valley,sector 33,1.4,21538,3,3,3,2,Under Construction,588.0,0,0,0,0,0,0,54
house,Bptp Visionnaire,sector 70a,4.6,17625,4,4,3+,3,Moderately Old,2610.0,1,1,1,1,0,0,96
flat,emaar palm gardens,sector 83,1.8,12000,3,4,3+,6,Relatively New,1667.0,0,1,0,0,0,2,96
flat,breez global heights,sohna road,0.21,5330,1,1,1,2,Relatively New,438.0,0,0,0,0,0,0,21
flat,godrej nature plus,sector 33,1.07,7726,2,2,2,14,New Property,1253.0,0,0,0,0,0,0,68
flat,tulip ivory,sector 70,2.35,9792,4,4,3+,10,Moderately Old,2667.0,0,1,0,0,0,2,65
flat,eldeco accolade,sohna road,1.3,7424,3,3,3+,10,Relatively New,1509.0,0,0,0,0,0,0,49
house,BPTP Astaire Gardens3.7 ?,sector 70a,6.5,27873,4,4,3+,2,New Property,2332.0,1,1,0,1,0,2,160
flat,sare crescent parc,sector 92,1.0,4778,4,4,3,9,Relatively New,2093.0,0,0,0,0,0,0,0
house,Unitech Espace,sector 50,11.5,35494,5,6,0,1,Moderately Old,3240.0,0,0,0,0,0,0,0
flat,mapsko mount ville,sector 79,1.2,13841,3,3,3,18,Relatively New,1165.0,1,0,0,1,0,2,160
flat,emaar mgf emerald floors premier,sector 65,2.35,14242,3,3,2,4,Relatively New,1650.0,1,1,0,0,0,0,165
flat,sobha city,sector 108,2.9,14478,3,4,2,8,New Property,2003.0,0,0,0,0,0,0,109
flat,dlf the skycourt,sector 86,1.55,8031,3,3,1,12,Relatively New,1900.0,0,0,0,1,0,2,153
flat,ats triumph,sector 104,1.85,8079,3,4,3+,14,Relatively New,2072.0,1,1,1,1,0,0,117
flat,ambience creacions,sector 22,1.99,15547,2,2,2,9,New Property,1285.0,0,0,0,0,0,0,49
flat,orris aster court premier,sector 85,1.73,6758,4,5,3+,8,Relatively New,2017.0,0,1,0,0,0,0,16
flat,emaar gurgaon greens,sector 102,1.4,8485,3,3,3,3,Relatively New,1315.0,0,1,0,0,0,0,60
flat,ss,sector 85,1.2,7151,2,2,3,15,Relatively New,1660.0,0,0,0,0,0,0,49
flat,signature andour heights,sector 71,0.39,9848,1,1,2,1,New Property,294.0,0,0,0,0,0,0,0
flat,breeze global heights,sector 33,0.4,6421,2,2,2,4,New Property,623.0,0,0,0,0,0,0,0
flat,emaar mgf emerald floors premier,sector 65,2.4,14545,3,3,3,3,Relatively New,1600.0,1,1,0,0,0,2,49
flat,ss the leaf,sector 85,1.98,8257,3,4,3,12,Relatively New,2399.0,0,0,1,0,0,0,174
house,independent,sohna road road,1.2,22305,1,4,3+,4,Old Property,535.0,0,0,0,0,0,0,8
flat,dlf the skycourt,sector 86,2.2,11500,3,3,1,7,Relatively New,1747.0,0,0,0,1,0,1,77
flat,adani brahma samsara vilasa,sector 63,3.25,29545,3,3,3,4,New Property,2700.0,0,0,0,0,1,0,41
flat,m3m woodshire,sector 107,1.35,5718,3,4,3+,8,Relatively New,1950.0,0,1,0,0,0,2,74
flat,ats marigold,sector 89,1.5,8571,3,3,3,2,New Property,1944.0,0,0,0,0,1,0,49
flat,tulip violet,sector 69,1.3,8447,3,3,1,12,Relatively New,1392.0,0,0,0,1,0,2,94
flat,indiabulls centrum park,sector 103,1.2,8433,2,2,3,3,Moderately Old,1288.0,0,0,0,0,0,0,26
flat,puri emerald bay,sector 104,2.23,9911,3,4,3+,10,Relatively New,2359.0,0,1,0,0,0,2,159
flat,tulip violet,sector 69,2.05,9951,4,4,2,0,Relatively New,1889.0,0,0,0,0,0,0,157
flat,signature andour heights,sector 71,0.59,8429,2,2,1,6,Moderately Old,639.0,0,0,0,0,0,0,67
flat,the penthouses at the hibiscus,sector 50,8.5,8500,4,4,3,9,Moderately Old,11111.0,0,1,0,0,0,0,35
flat,pivotal devaan,sector 84,0.37,6346,2,2,1,5,Relatively New,532.0,0,0,0,0,0,0,73
flat,vatika inxt floors,sector 82a,1.25,8333,3,2,3,2,Relatively New,1667.0,1,0,0,1,0,2,94
house,Satya The Hermitage3.5 ?,sector 103,3.15,6702,4,5,0,12,Relatively New,4700.0,0,0,0,0,0,0,0
flat,pyramid urban,sector 67a,0.62,11855,2,2,2,2,Relatively New,581.0,0,0,0,0,0,0,64
flat,experion the heartsong,sector 108,0.87,11853,2,3,3,2,Relatively New,978.23,0,1,0,0,0,2,123
flat,tulip petals,sector 89,1.55,10000,3,2,3,6,Moderately Old,1403.0,0,0,1,0,0,2,111
flat,ansal heights 86,sector 86,0.87,5367,2,2,1,12,New Property,1231.0,0,0,0,0,1,2,45
house,independent,sector 4,2.35,16319,4,4,2,2,Old Property,1440.0,0,0,0,1,0,0,43
flat,tulip violet,sector 69,1.42,8999,3,3,2,8,Relatively New,1428.0,0,0,0,1,0,2,94
flat,awho sispal vihar,sector 49,2.0,7262,4,3,3+,4,Old Property,2492.0,0,0,0,0,0,0,65
flat,tulip violet,sector 69,1.55,9823,3,3,2,5,Relatively New,1428.0,0,0,0,1,0,0,99
flat,bestech park view grand spa,sector 81,4.2,10000,4,4,3+,25,Relatively New,3512.0,0,1,0,0,0,2,90
flat,smart world orchard,sector 61,2.2,14203,3,3,2,4,New Property,1721.0,0,0,0,0,0,0,152
flat,dlf the ultima,sector 81,2.25,10699,3,3,3+,11,Relatively New,1600.0,1,1,0,1,1,1,49
house,Unitech Deerwood Chase,sector 50,8.45,26153,3,3,2,2,Old Property,3231.0,1,1,0,0,0,2,102
flat,palam vihar society,sector 2,0.4,8602,1,1,1,5,Moderately Old,450.0,0,0,0,0,0,2,39
flat,bptp terra,sector 37d,1.17,8298,2,2,2,0,Relatively New,1276.0,0,0,0,0,0,0,107
flat,dlf the ultima,sector 81,2.25,10553,3,3,3+,15,Relatively New,1929.0,0,1,0,0,0,1,165
flat,vipul lavanya,sector 81,0.75,5967,2,2,2,7,Moderately Old,1397.0,0,0,0,0,0,0,37
flat,tulip monsella,sector 53,6.02,20816,3,3,3,29,Under Construction,2892.0,0,0,0,0,0,0,68
flat,m3m golfestate,sector 65,5.2,17456,3,3,3,18,Relatively New,2696.0,1,1,0,0,0,2,76
flat,silverglades the melia,sohna road,1.01,6999,2,2,3,12,New Property,1184.0,1,0,0,0,0,0,80
flat,emaar mgf the palm drive,sector 66,3.2,17778,3,3,3,12,Relatively New,1800.0,1,1,1,1,0,0,117
house,independent,sector 3,0.37,7923,1,1,1,1,Relatively New,480.0,0,0,0,0,0,0,0
flat,umang monsoon breeze,sector 78,1.25,5000,4,4,3,2,Relatively New,2300.0,0,1,0,1,1,0,57
flat,m3m skywalk,sector 74,1.4,9831,2,2,2,17,New Property,1289.0,0,0,0,0,0,2,167
flat,tulip violet,sector 69,1.46,9252,3,3,2,0,Relatively New,1428.0,0,0,0,1,0,2,174
flat,emaar mgf emerald floors premier,sector 65,2.9,14684,4,4,0,0,Relatively New,2194.0,0,0,1,0,0,0,50
flat,paras dews,sector 106,1.17,6648,3,4,3+,12,Relatively New,1186.0,0,1,0,0,0,0,49
flat,godrej icon,sector 88a,1.31,8101,2,2,3+,3,Relatively New,1463.0,1,0,0,0,0,0,102
house,independent,sector 12,1.0,8230,3,7,3+,3,Moderately Old,3750.0,0,0,1,1,0,0,7
house,Unitech Espace,sector 50,11.0,40741,4,4,3+,2,Moderately Old,2700.0,0,1,0,0,0,2,88
flat,ansal heights 86,sector 86,0.9,5325,3,3,2,10,New Property,1690.0,0,0,0,0,0,0,29
flat,shree vardhman victoria,sector 70,1.9,9744,3,3,3,10,New Property,1765.0,0,1,1,1,1,0,36
flat,godrej oasis,sector 88a,1.45,8082,3,3,3,12,Relatively New,1993.0,0,0,0,0,0,0,49
house,independent,sector 55,5.6,20741,6,4,3,3,Old Property,2700.0,0,1,0,0,0,2,41
house,International City by Sobha Phase 1,sector 109,5.85,26423,4,5,3+,2,Relatively New,2214.0,0,1,0,0,0,2,85
house,independent,sector 38,3.5,20325,3,2,2,1,Moderately Old,1722.0,0,0,0,0,0,0,0
flat,emaar mgf palm terraces select,sector 66,3.4,14108,4,4,3+,2,Relatively New,2210.0,0,1,0,0,0,2,157
house,independent,sector 57,3.6,20833,4,4,2,2,Old Property,1728.0,1,1,1,1,0,0,110
flat,signature global orchard avenue,sector 93,0.4,5479,2,2,0,0,Relatively New,730.0,0,0,0,0,0,0,0
flat,dlf new town heights,sector 90,1.25,6504,3,3,3+,5,Relatively New,1929.0,0,1,0,1,0,0,127
flat,bestech park view city,sector 48,1.76,9910,3,3,3+,9,Moderately Old,1576.0,0,1,0,1,0,2,158
flat,dlf the ultima,sector 81,2.2,10461,3,3,3+,5,Relatively New,1570.0,1,1,0,1,1,1,49
house,Saksham Welfare Association,sector 22,4.7,19848,6,6,3+,2,Old Property,2368.0,0,0,1,1,0,2,106
house,Ansal Florence Super,sector 57,3.75,23148,3,4,3,2,Moderately Old,1620.0,1,1,1,0,0,2,38
flat,satya the hermitage,sector 103,0.93,6405,2,3,3,3,Relatively New,1613.0,0,1,0,0,0,2,90
flat,m3m sky lofts,sector 71,0.9,13177,1,1,0,6,New Property,683.0,0,0,0,0,0,0,77
flat,tulip violet,sector 69,1.32,8413,3,3,1,12,Relatively New,1419.0,0,0,0,1,0,2,86
flat,emaar mgf emerald estate,sector 65,1.73,12401,3,3,3,9,Relatively New,1262.0,0,1,0,0,0,1,159
flat,trisara our homes 3,sohna road,0.21,4339,1,1,0,2,Relatively New,484.0,0,0,0,0,0,0,0
house,DLF Floors Phase 3,sector 24,3.51,12342,4,4,3,4,New Property,2844.0,1,1,1,1,0,2,160
flat,m3m heights,sector 65,2.01,13499,2,2,3,8,New Property,1482.0,1,0,0,0,0,0,44
flat,smart world gems,sector 89,1.2,8433,3,3,2,2,New Property,1581.0,0,0,0,0,0,0,44
house,independent,sector 31,3.69,23699,4,4,2,2,Moderately Old,1557.0,1,1,0,1,0,2,75
house,DLF City Plots Phase 2,sector 25,6.5,33592,3,9,3+,3,Old Property,1935.0,1,1,1,1,0,2,142
flat,smart world orchard,sector 61,1.41,12250,2,2,2,2,New Property,1150.0,1,0,0,0,0,0,76
flat,godrej air,sector 85,1.83,10005,3,3,3+,18,New Property,2032.0,0,0,0,0,0,0,110
flat,dlf the ultima,sector 81,3.5,11686,4,5,3+,7,Relatively New,2577.0,0,1,0,0,0,1,174
flat,emaar gurgaon greens,sector 102,1.52,9212,3,3,3,7,Relatively New,1315.0,0,1,0,0,0,2,137
flat,eldeco accolade,sohna road,1.35,6136,3,3,3,2,New Property,2444.0,0,1,0,0,0,0,72
flat,pioneer araya,sector 62,7.56,18000,4,4,3+,23,Relatively New,4200.0,0,1,0,1,0,2,87
house,Unitech Uniworld Resorts,sector 33,9.5,23336,5,7,3+,2,New Property,4071.0,1,1,1,1,0,0,57
house,independent,sector 110,0.34,6800,1,1,0,1,New Property,500.0,0,0,0,0,0,0,0
house,Vatika The Seven Lamps3.8 ?,sector 82,1.6,6598,4,4,3+,16,Moderately Old,2425.0,0,1,0,0,0,0,94
flat,rof ananda,sector 95,0.37,5745,3,2,1,6,Relatively New,716.0,0,0,0,1,0,2,72
house,independent,sector 41,11.0,33951,4,4,2,3,New Property,3240.0,1,1,0,1,0,0,35
flat,signature global orchard avenue,sector 93,0.4,7353,2,2,2,11,New Property,604.0,0,0,0,0,0,0,37
flat,experion the heartsong,sector 108,1.25,9259,3,3,3,1,Relatively New,1500.0,0,1,0,1,0,0,174
flat,awho shanti vihar,sector 95,0.8,8889,2,2,3,9,New Property,713.0,1,0,0,0,0,0,67
flat,shree vardhman victoria,sector 70,1.62,8308,3,5,3,9,Relatively New,1527.0,0,1,0,0,0,0,43
flat,indiabulls centrum park,sector 103,1.33,8581,3,3,3+,8,Relatively New,1671.0,1,0,0,0,0,0,150
flat,paras dews,sector 106,1.2,6818,3,4,3+,9,Relatively New,1186.0,0,1,0,0,0,0,174
flat,mahindra aura,sector 110,2.25,9267,4,4,3+,2,Relatively New,2350.0,0,1,0,0,0,0,152
flat,ss almeria,sector 84,1.48,7400,3,3,2,1,New Property,1624.0,0,1,1,0,0,2,139
house,Ansals Palam Vihar,sector 2,9.0,19231,5,5,2,2,Old Property,4680.0,1,1,1,1,0,1,110
